Solving...
Starting with fixed depth 6
Set parameter Username
Academic license - for non-commercial use only - expires 2025-09-20
Set parameter Threads to value 1
Set parameter TimeLimit to value 1200
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: AMD EPYC 9124 16-Core Processor, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 32 physical cores, 64 logical processors, using up to 1 threads

Optimize a model with 1284007 rows, 242526 columns and 11238658 nonzeros
Model fingerprint: 0x4dccc6d0
Variable types: 16460 continuous, 226066 integer (226066 binary)
Coefficient statistics:
  Matrix range     [1e-02, 1e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+02]
  RHS range        [1e+00, 6e+00]
Presolve removed 378 rows and 567 columns (presolve time = 5s) ...
Presolve removed 378 rows and 567 columns (presolve time = 10s) ...
Presolve removed 378 rows and 567 columns (presolve time = 15s) ...
Presolve removed 378 rows and 567 columns (presolve time = 20s) ...
Presolve removed 378 rows and 567 columns
Presolve time: 23.58s
Presolved: 1283629 rows, 241959 columns, 11028208 nonzeros
Variable types: 16460 continuous, 225499 integer (225499 binary)
Found heuristic solution: objective -99.9999995
Root relaxation presolved: 241959 rows, 1525588 columns, 11270167 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   0.000000e+00   2.640100e+04     38s
  185847   -4.4295616e+01   0.000000e+00   7.247808e+01     40s
  214639   -4.7710548e+01   0.000000e+00   0.000000e+00     41s
  214639   -4.7710548e+01   0.000000e+00   0.000000e+00     41s

Root relaxation: objective -4.771055e+01, 214639 iterations, 10.49 seconds (28.57 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  -47.71055    0 3386 -100.00000  -47.71055  52.3%     -   61s
     0     0  -47.71055    0 5080 -100.00000  -47.71055  52.3%     -   81s
     0     0  -47.71055    0 5596 -100.00000  -47.71055  52.3%     -  146s
     0     0  -47.71055    0 5596 -100.00000  -47.71055  52.3%     -  153s
     0     0  -47.71055    0 7287 -100.00000  -47.71055  52.3%     -  216s
H    0     0                     -99.6879053  -47.71055  52.1%     -  219s
     0     0  -47.71055    0 7503  -99.68791  -47.71055  52.1%     -  270s
     0     0  -47.71055    0 8151  -99.68791  -47.71055  52.1%     -  275s
     0     0  -47.71055    0 8714  -99.68791  -47.71055  52.1%     -  306s
     0     0  -47.71055    0 8714  -99.68791  -47.71055  52.1%     -  334s
     0     0  -47.71055    0 8834  -99.68791  -47.71055  52.1%     -  372s
     0     0  -47.71055    0 8834  -99.68791  -47.71055  52.1%     -  400s
     0     2  -47.71055    0 8834  -99.68791  -47.71055  52.1%     -  485s
     6     8  -47.71055    4 5061  -99.68791  -47.71055  52.1%   678  490s
    10    12  -47.71055    7 5738  -99.68791  -47.71055  52.1%   412  496s
    14    16  -47.71055    9 4612  -99.68791  -47.71055  52.1%   295  500s
    19    21  -47.71055   12 4612  -99.68791  -47.71055  52.1%   218  506s
    24    26  -47.71055   15 4612  -99.68791  -47.71055  52.1%   173  510s
    27    29  -47.71055   17 4612  -99.68791  -47.71055  52.1%   154  519s
    28    30  -47.71055   17 4612  -99.68791  -47.71055  52.1%   148  520s
    33    35  -47.71055   20 4611  -99.68791  -47.71055  52.1%   126  525s
    37    39  -47.71055   22 4612  -99.68791  -47.71055  52.1%   113  530s
    42    44  -47.71055   25 5176  -99.68791  -47.71055  52.1%   100  536s
    49    51  -47.71055   30 5177  -99.68791  -47.71055  52.1%  86.5  540s
H   52    52                     -99.6768702  -47.71055  52.1%  81.6  547s
    54    56  -47.71055   32 4612  -99.67687  -47.71055  52.1%  96.1  561s
    60    62  -47.71676   35 5518  -99.67687  -47.71055  52.1%   110  565s
    66    68  -47.71055   39 6869  -99.67687  -47.71055  52.1%   114  570s
    73    75  -47.71055   44 4614  -99.67687  -47.71055  52.1%   110  575s
    78    80  -47.71055   46 6436  -99.67687  -47.71055  52.1%   112  581s
    81    83  -47.71055   48 8056  -99.67687  -47.71055  52.1%   111  585s
    88    90  -47.71055   52 5199  -99.67687  -47.71055  52.1%   113  590s
    94    96  -47.71055   55 6781  -99.67687  -47.71055  52.1%   115  595s
   101   103  -47.71055   60 9262  -99.67687  -47.71055  52.1%   115  601s
   103   105  -47.71134   61 9536  -99.67687  -47.71055  52.1%   127  605s
