Solving...
Starting with fixed depth 7
Set parameter Username
Academic license - for non-commercial use only - expires 2025-09-20
Set parameter Threads to value 1
Set parameter TimeLimit to value 1200
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: AMD EPYC 9124 16-Core Processor, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 32 physical cores, 64 logical processors, using up to 1 threads

Optimize a model with 363519 rows, 40944 columns and 3402009 nonzeros
Model fingerprint: 0x2f1e840a
Variable types: 2560 continuous, 38384 integer (38384 binary)
Coefficient statistics:
  Matrix range     [1e-12, 1e+02]
  Objective range  [4e-01, 8e+00]
  Bounds range     [1e+00, 1e+02]
  RHS range        [1e+00, 7e+00]
Presolve removed 2435 rows and 2153 columns
Presolve time: 4.28s
Presolved: 361084 rows, 38791 columns, 3386167 nonzeros
Variable types: 2566 continuous, 36225 integer (36225 binary)
Root relaxation presolved: 38791 rows, 399875 columns, 3424958 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.0236872e+05   0.000000e+00   2.753865e+05     15s
   16442    5.8493941e+04   0.000000e+00   6.233243e+09     21s
   17006    5.8493941e+04   0.000000e+00   7.313588e+09     26s
   17566    5.6463518e+04   0.000000e+00   1.175356e+10     31s
   18006    5.1623888e+04   0.000000e+00   3.141029e+11     35s
   18723    4.0016679e+04   0.000000e+00   8.268989e+10     42s
   19117    3.8985044e+04   0.000000e+00   4.021285e+10     45s
   19717    3.5857964e+04   0.000000e+00   1.852033e+11     51s
   20197    3.2477395e+04   0.000000e+00   1.108856e+12     56s
   20677    2.7501100e+04   0.000000e+00   2.515620e+12     60s
   21157    2.3919206e+04   0.000000e+00   6.555145e+11     65s
   21757    1.8943809e+04   0.000000e+00   2.127878e+11     71s
   22237    1.4869414e+04   0.000000e+00   3.391644e+11     75s
   22837    1.0896026e+04   0.000000e+00   2.719015e+08     81s
   23327    1.0437188e+04   0.000000e+00   6.475091e+09     86s
   23807    8.9592768e+03   0.000000e+00   3.425369e+09     91s
   24287    7.4307153e+03   0.000000e+00   1.068548e+09     96s
   24767    5.8319543e+03   0.000000e+00   9.167064e+08    101s
   25247    5.0664496e+03   0.000000e+00   1.956204e+08    106s
   25727    1.9340916e+03   0.000000e+00   8.371998e+08    110s
   26217    1.9331980e+03   0.000000e+00   1.400669e+09    116s
   26587    1.9321102e+03   0.000000e+00   3.929015e+09    120s
   27077    1.2093529e+03   0.000000e+00   2.788549e+07    126s
   27457    9.1896923e+02   0.000000e+00   6.185724e+08    130s
   27937    8.5343400e+02   0.000000e+00   7.020296e+07    135s
   28427    8.5335539e+02   0.000000e+00   3.275400e+07    141s
   28907    8.5328717e+02   0.000000e+00   1.330841e+08    146s
   29407    7.8460111e+02   0.000000e+00   6.137977e+07    151s
   29767    7.8457943e+02   0.000000e+00   6.556558e+07    155s
   30247    7.8455311e+02   0.000000e+00   9.605165e+06    161s
   30737    7.8453020e+02   0.000000e+00   5.495265e+07    166s
   31117    7.8451532e+02   0.000000e+00   7.120072e+07    170s
   31607    7.7432742e+02   0.000000e+00   7.713624e+07    175s
   32097    7.7431113e+02   0.000000e+00   2.911276e+07    181s
   32617    7.7429106e+02   0.000000e+00   3.419900e+07    186s
   32997    7.7427972e+02   0.000000e+00   5.027750e+07    191s
   33467    7.7426140e+02   0.000000e+00   6.679523e+07    196s
   33857    7.7425094e+02   0.000000e+00   2.828165e+07    200s
   34357    7.7423561e+02   0.000000e+00   1.886760e+07    205s
   34877    7.7421890e+02   0.000000e+00   4.489801e+07    211s
   35277    7.7420812e+02   0.000000e+00   3.811946e+07    216s
   35667    7.7419969e+02   0.000000e+00   1.634705e+08    220s
   36177    7.4455501e+02   0.000000e+00   1.678473e+07    226s
   36647    7.4454518e+02   0.000000e+00   3.802448e+07    231s
   37047    7.4453733e+02   0.000000e+00   8.169964e+07    236s
   37547    7.4452536e+02   0.000000e+00   2.066922e+07    241s
   37927    7.4451555e+02   0.000000e+00   2.177328e+07    246s
   38367    7.4450259e+02   0.000000e+00   1.231596e+07    250s
   38847    7.4449000e+02   0.000000e+00   4.798179e+07    256s
   39247    7.4447988e+02   0.000000e+00   2.180637e+07    260s
   39727    7.4446838e+02   0.000000e+00   3.534098e+07    266s
   40127    7.4445981e+02   0.000000e+00   3.466133e+07    270s
   40557    7.4444883e+02   0.000000e+00   1.697304e+07    275s
   40987    7.4061018e+02   0.000000e+00   7.662316e+06    280s
   41487    6.2305551e+02   0.000000e+00   1.435754e+07    285s
   41927    6.2304315e+02   0.000000e+00   2.714791e+07    290s
   42467    6.2302562e+02   0.000000e+00   5.045917e+07    296s
   42857    6.2301401e+02   0.000000e+00   2.023489e+07    301s
   43377    5.1337421e+02   0.000000e+00   4.245273e+07    307s
   43757    5.1084189e+02   0.000000e+00   2.142755e+07    311s
   44247    5.1082999e+02   0.000000e+00   8.104358e+07    316s
   44597    4.8145483e+02   0.000000e+00   4.900455e+07    320s
   45137    4.8144373e+02   0.000000e+00   1.319437e+08    326s
   45527    4.0095086e+02   0.000000e+00   3.562903e+07    331s
   46017    4.0094002e+02   0.000000e+00   8.849576e+06    336s
   46387    4.0093113e+02   0.000000e+00   1.647572e+07    340s
   46907    4.0091944e+02   0.000000e+00   2.484550e+07    346s
   47277    4.0091043e+02   0.000000e+00   1.695891e+07    350s
   47787    4.0089907e+02   0.000000e+00   2.359572e+07    356s
   48177    4.0089115e+02   0.000000e+00   5.388925e+07    360s
   48657    4.0088118e+02   0.000000e+00   4.178305e+07    366s
   49137    4.0046447e+02   0.000000e+00   1.758177e+07    371s
   49617    4.0045290e+02   0.000000e+00   2.754946e+07    376s
   49977    4.0044579e+02   0.000000e+00   3.425773e+07    380s
   50457    4.0043533e+02   0.000000e+00   8.389546e+06    385s
   50937    2.5221852e+02   0.000000e+00   9.984673e+06    390s
   51417    2.5221076e+02   0.000000e+00   2.767545e+07    396s
   51897    2.5219995e+02   0.000000e+00   1.492101e+07    401s
   52257    2.5219252e+02   0.000000e+00   2.759068e+07    406s
   52617    2.5218660e+02   0.000000e+00   1.324013e+07    410s
   53097    2.5217742e+02   0.000000e+00   5.515372e+06    416s
   53577    2.5216732e+02   0.000000e+00   1.182757e+07    421s
   53937    2.5216167e+02   0.000000e+00   1.523622e+07    425s
   54417    2.5215096e+02   0.000000e+00   1.256045e+07    430s
   54897    2.5214301e+02   0.000000e+00   7.337016e+06    436s
   55377    2.5213524e+02   0.000000e+00   2.148180e+07    441s
   55857    2.5113971e+02   0.000000e+00   2.822090e+07    446s
   56337    2.5113268e+02   0.000000e+00   2.014610e+07    451s
   56697    2.5112673e+02   0.000000e+00   4.710770e+07    455s
   57177    2.5111952e+02   0.000000e+00   2.134576e+07    460s
   57657    2.5111224e+02   0.000000e+00   1.593533e+07    465s
   58137    2.5110536e+02   0.000000e+00   5.190479e+06    470s
   58617    2.5109960e+02   0.000000e+00   1.103447e+07    476s
   59097    2.5109357e+02   0.000000e+00   7.897546e+06    481s
   59457    2.5108832e+02   0.000000e+00   1.460605e+07    485s
   59937    2.5108187e+02   0.000000e+00   3.562930e+07    490s
   60417    2.5107503e+02   0.000000e+00   5.595536e+06    496s
   60777    2.5106916e+02   0.000000e+00   9.331253e+06    501s
   61257    2.5106282e+02   0.000000e+00   5.850075e+06    506s
   61617    2.5105873e+02   0.000000e+00   1.749799e+07    511s
   62097    2.5105284e+02   0.000000e+00   9.449187e+07    516s
   62457    2.5104905e+02   0.000000e+00   2.489365e+07    521s
   62817    2.5104486e+02   0.000000e+00   8.615040e+06    526s
   63177    2.5104022e+02   0.000000e+00   1.123559e+07    530s
   63537    2.5103649e+02   0.000000e+00   1.577188e+07    535s
   64017    2.5103087e+02   0.000000e+00   6.907738e+07    541s
   64377    2.5102596e+02   0.000000e+00   1.458797e+07    546s
   64737    2.5102244e+02   0.000000e+00   1.061637e+07    551s
   65097    2.5101853e+02   0.000000e+00   2.701282e+07    556s
   65457    2.4809208e+02   0.000000e+00   6.061287e+06    560s
   65937    2.4808609e+02   0.000000e+00   3.189212e+06    567s
