Solving...
Starting with fixed depth 7
Set parameter Username
Academic license - for non-commercial use only - expires 2025-09-20
Set parameter Threads to value 1
Set parameter TimeLimit to value 1200
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: AMD EPYC 9124 16-Core Processor, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 32 physical cores, 64 logical processors, using up to 1 threads

Optimize a model with 3439911 rows, 367895 columns and 39477311 nonzeros
Model fingerprint: 0xbfb833dd
Variable types: 24240 continuous, 343655 integer (343655 binary)
Coefficient statistics:
  Matrix range     [1e-02, 1e+02]
  Objective range  [2e-01, 1e+00]
  Bounds range     [1e+00, 1e+02]
  RHS range        [1e+00, 7e+00]
Presolve removed 1397 rows and 6858 columns (presolve time = 5s) ...
Presolve removed 1397 rows and 6858 columns (presolve time = 10s) ...
Presolve removed 1397 rows and 6858 columns (presolve time = 15s) ...
Presolve removed 1397 rows and 6858 columns (presolve time = 20s) ...
Presolve removed 1397 rows and 6858 columns (presolve time = 26s) ...
Presolve removed 1397 rows and 6858 columns (presolve time = 30s) ...
Presolve removed 1397 rows and 6858 columns (presolve time = 36s) ...
Presolve removed 1397 rows and 6858 columns (presolve time = 40s) ...
Presolve removed 1397 rows and 6858 columns (presolve time = 45s) ...
Presolve removed 1397 rows and 6858 columns (presolve time = 50s) ...
Presolve removed 1397 rows and 6858 columns
Presolve time: 50.33s
Presolved: 3438514 rows, 361037 columns, 31457827 nonzeros
Variable types: 24240 continuous, 336797 integer (336797 binary)
Found heuristic solution: objective -0.8149296
Root relaxation presolved: 361037 rows, 3799551 columns, 31818864 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    5.9671755e+02   0.000000e+00   2.647333e+03     82s
    5628    5.2690914e+02   0.000000e+00   8.681726e+07     86s
    6638    5.2667281e+02   0.000000e+00   3.091628e+08     90s
    7468    5.2493316e+02   0.000000e+00   1.122031e+09     95s
    8238    5.2286905e+02   0.000000e+00   5.957162e+07    100s
    8948    5.2170418e+02   0.000000e+00   7.267647e+07    106s
    9628    5.1986324e+02   0.000000e+00   3.396716e+08    111s
   10508    5.1824647e+02   0.000000e+00   2.633135e+08    117s
   10998    5.1770341e+02   0.000000e+00   3.408175e+09    121s
   11828    5.1423098e+02   0.000000e+00   9.545445e+10    126s
   12668    5.0762866e+02   0.000000e+00   3.831292e+09    132s
   13178    5.0313065e+02   0.000000e+00   1.097304e+07    136s
   13718    5.0144390e+02   0.000000e+00   2.383209e+09    140s
   14548    4.9956093e+02   0.000000e+00   2.190115e+08    146s
   15098    4.9895360e+02   0.000000e+00   4.181437e+09    150s
   15878    4.9813283e+02   0.000000e+00   5.268722e+07    157s
   16428    4.9759261e+02   0.000000e+00   1.565008e+08    161s
   17218    4.9543375e+02   0.000000e+00   1.030771e+09    167s
   17758    4.9471227e+02   0.000000e+00   1.181326e+09    171s
   18278    4.9448410e+02   0.000000e+00   5.330821e+08    176s
   18808    4.9415865e+02   0.000000e+00   3.779458e+09    180s
   19598    4.9351735e+02   0.000000e+00   1.114475e+09    187s
   20138    4.9328799e+02   0.000000e+00   7.173273e+08    191s
   20648    4.9307950e+02   0.000000e+00   5.486224e+08    195s
   21458    4.9267024e+02   0.000000e+00   2.956648e+09    202s
   21978    4.9235492e+02   0.000000e+00   2.147747e+09    206s
