model,vars,S,rel(S),Act,choices,*-opt,random,,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+
maze-7,9,2039,100.00,5,10195,5.1796,1.2183,,1,1,1.9469,0.1839,3.66,8.17,1,1,18900,275,19,256,85,6
maze-7,9,2039,100.00,5,10195,5.1796,1.2183,,2,2,3.2506,0.513,11.12,1070.13,2,3,1.00E+11,29556,4589,24967,6426,6
maze-7,9,2039,100.00,5,10195,5.1796,1.2183,,3,3,3.9167,0.6812,814.46,1200.18,3,7,1.00E+25,17425,2510,14915,3516,10
maze-7,9,2039,100.00,5,10195,5.1796,1.2183,,4,4,4.0824,0.723,382.05,1200.25,4,6,1.00E+54,6282,1375,4907,928,7
maze-7,9,2039,100.00,5,10195,5.1796,1.2183,,5,5,4.1511,0.7404,745.91,1200.62,5,8,1.00E+111,1929,341,1588,411,6
maze-7,9,2039,100.00,5,10195,5.1796,1.2183,,6,6,4.2316,0.7607,1099.08,1201.02,6,12,1.00E+226,645,167,478,74,7
maze-7,9,2039,100.00,5,10195,5.1796,1.2183,,7,7,4.1621,0.7431,904.97,1203.51,7,14,1e455,293,116,177,24,3
maze-7,9,2039,100.00,5,10195,5.1796,1.2183,,8,8,4.1366,0.7367,298.61,1204.8,5,7,1e912,168,72,96,21,0
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,1,1,-63.2248,0.203,0.32,0.95,1,1,4375,336,33,303,94,4
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,2,2,-24.5559,0.872,1.12,19.58,2,3,1.00E+09,4635,1042,3593,732,5
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,3,3,-19.9697,0.9514,272.7,1200.05,3,7,1.00E+21,164465,42068,122397,20166,13
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,4,4,-19.6757,0.9565,389.12,1200.08,4,10,1.00E+44,61609,17740,43869,4870,3
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,5,5,-18.418,0.9782,360.41,1200.08,5,14,1.00E+91,28474,8909,19565,1433,4
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,6,6,-18.4145,0.9783,603.36,1200.14,6,16,1.00E+186,12556,3523,9033,977,2
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,7,7,-18.4145,0.9783,503.32,1200.1,6,18,1e374,5915,1773,4142,331,0
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,8,8,-18.3671,0.9791,1155.28,1200.75,7,36,1e750,2322,836,1486,24,4
omdt-3d_navigation,3,125,100.00,7,875,0.3518,0,,1,1,0,0,0.02,0.34,0,0,9408,180,20,160,44,0
omdt-3d_navigation,3,125,100.00,7,875,0.3518,0,,2,2,0.0207,0.0587,38.28,77.54,2,3,1.00E+10,30651,5130,25521,6756,5
omdt-3d_navigation,3,125,100.00,7,875,0.3518,0,,3,3,0.3518,1,87.21,87.26,3,7,1.00E+22,2604,543,2061,424,0
omdt-3d_navigation,3,125,100.00,7,875,0.3518,0,,4,3,0.3518,1,87.15,87.21,3,7,1.00E+22,2604,543,2061,424,0
